name,activity,governorate,phone
BEST BROTHERS SHOES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 36 386 006 / 95 997 907
BNF (BENI KHALLED),Chaussures industrielles en toutes matières.,Nabeul,(216) - 79 761 315
BOCHE TUNISIE,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 214 666
CALE CHAUSSURES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 231 213
CARTHAGE LEATHER,Apprêt et tannage des cuirs.,Manouba,(216) - 29 674 469
CARTHAGE MAROQUINERIE,Fabrication d'articles de voyage et de maroquinerie.,Manouba,(216) - 71 652 747
CELEBRITY SHOES GROUP,Chaussures industrielles en toutes matières.,Bizerte,(216) - 98 708 521
CENI MAROQUINENERIE,Fabrication d'articles de voyage et de maroquinerie.,Tunis,(216) - 71 938 180 / 24 600 314
CHAMA,Chaussures industrielles en toutes matières.,Zaghouan,(216) - 27 706 542 / 72 678 032
CHAUSSURE TIPAZA,Chaussures industrielles en toutes matières.,Tunis,(216) - 55 837 637 / 71 939 749
CHAUSSURES EVA,Chaussures industrielles en toutes matières.,Sfax,(216) - 25 765 250 / 74 258 215
CHAUSSURES RAN PLUS,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 360 546 / 28 628 327
CIC (SFAX),Chaussures industrielles en toutes matières.,Sfax,(216) - 74 432 500
CLAUDIA,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 285 567 / 72 233 166
CONDOR SHOES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 345 683
COTUFAS,Chaussures industrielles en toutes matières.,Sfax,(216) - 98 410 439 / 74 286 004
CRK EXPORT,Fabrication d'articles de voyage et de maroquinerie.,Tunis,(216) - 71 922 043
CRK MAROQUINERIE,Fabrication d'articles de voyage et de maroquinerie.,Tunis,(216) - 71 922 732 / 71 922 033
CTE,Fabrication d'articles de voyage et de maroquinerie.,Tunis,(216) - 71 807 311
DANA SHOES,Chaussures industrielles en toutes matières.,Ariana,(216) - 71 556 342
DELTA CUIR,Chaussures industrielles en toutes matières.,Nabeul,(216) - 54 308 702 / 21 308 382
DEN VER SHOES,Chaussures industrielles en toutes matières.,Bizerte,(216) - 28 405 338 / 94 883 760
DRUNEN,Chaussures industrielles en toutes matières.,Sousse,(216) - 73 252 090 / 73 252 622
EL BARAKA CHAUSSURES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 256 600
