name,activity,governorate,phone,linkedin_url
BENCOF,Confection de vêtements de dessus.,Monastir,(216) - 98 458 558 / 73 482 235,https://br.linkedin.com/company/bencorp
BENITEX (KORBA),Confection de vêtements de dessus.,Nabeul,(216) - 72 387 688 / 72 388 599,https://be.linkedin.com/company/grupo-beniplast
BENTEX +,Fabrication de pull-overs et articles similaires en mailles.,Mahdia,(216) - 73 662 771,https://in.linkedin.com/company/bentex-control-switchgear-s-private-limited
BERONI CLOTHING,Confection de vêtements de dessus.,Nabeul,(216) - 72 348 026,https://ec.linkedin.com/company/baroni-market
BEST UNIFORM EXPORT,Confection de vêtements de travail.,Nabeul,(216) - 24 670 670,https://in.linkedin.com/company/product-impex
BETATEX,Confection de vêtements de dessus.,Nabeul,(216) - 23 700 200,https://gh.linkedin.com/company/beta-construction-engineers-limited
BETEX,Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 473 968,https://tn.linkedin.com/company/betex-confection
BFS (EL BATEN),Confection de vêtements de dessus.,Kairouan,(216) - 56 779 292,https://bj.linkedin.com/company/biic-financial-services
BHC,Confection de vêtements de dessus.,Monastir,(216) - 73 474 820,https://in.linkedin.com/company/bausch-health-companies
BICA-TEX,Confection de vêtements de dessus.,Monastir,(216) - 58 402 180 / 58 402 168,https://dk.linkedin.com/company/bicasolution
BIDHIEX (HAMMAM SOUSSE),Confection de vêtements de travail - Confection de vêtements de dessus.,Sousse,(216) - 73 365 920,https://fr.linkedin.com/company/sitex-tunisie
BIDHIEX FASHION,Confection de vêtements de travail.,Sousse,(216) - 58 353 501,https://dk.linkedin.com/company/bidex
BIGA-TEX,Confection de vêtements de dessous.,Gafsa,(216) - 20 168 670 / 76 260 626,https://www.linkedin.com/company/all-american-trailer
BIKINI BEACH CONCEPT,Confection de vêtements et accessoires.,Bizerte,(216) - 72 456 110,https://ie.linkedin.com/company/conceptlab-tunisie
BIKINI BEACH CONFECTION,Confection de vêtements et accessoires.,Bizerte,(216) - 72 456 110 / 72 456 599,https://de.linkedin.com/company/cis-confection-id%C3%A9ale-du-sud
BIOSEVE,Fabrication d'autres articles confectionnes en textile.,Zaghouan,(216) - 23 257 026,https://in.linkedin.com/company/bioserveindia
BIS,Confection de vêtements de travail.,Sousse,(216) - 98 403 512 / 98 437 047,https://ca.linkedin.com/company/bis-safety-software
BLEU - MANDARINE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 70 682 633,https://ca.linkedin.com/company/bluemandarines
BLEU OCEAN TUNISIE,Confection de vêtements de dessus.,Monastir,(216) - 73 487 864,https://bz.linkedin.com/company/oc%C3%A9an-bleu
BLUE DENIM TUNISIE,Industries textiles n.c.a.,Nabeul,(216) - 72 290 999,https://tn.linkedin.com/company/denim-authority-sa
